"Earthquake_id","Earthquake_Date","MMI","Clinic","Week_Of","Patients","Visits","CD4","ViralLoad","ART"
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-03-20,1160,97,53,41,6
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-03-27,1242,109,43,42,4
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-04-03,1249,101,33,43,5
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-04-10,1186,121,38,47,6
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-04-17,1173,111,37,46,4
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-04-24,1179,92,44,50,5
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-05-01,1241,103,60,44,7
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-05-08,1174,115,36,40,2
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-05-15,1299,108,31,43,4
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-05-22,1173,93,29,45,5
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-05-29,1188,101,38,37,4
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-06-05,1228,127,40,40,4
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-06-12,1259,116,33,36,3
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-06-19,1256,106,39,44,5
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-06-26,1241,119,41,30,3
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-07-03,1204,119,42,34,3
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-07-10,1222,108,40,40,1
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-07-17,1271,93,42,36,2
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-07-24,1169,76,50,43,3
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-07-31,1163,92,39,28,2
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-08-07,1230,84,33,44,3
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-08-14,1214,115,29,35,1
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-08-21,1178,77,27,26,3
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-08-28,1166,87,34,27,4
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-09-04,1134,80,36,31,4
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-09-11,1199,76,22,29,0
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-09-18,1131,61,20,16,3
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-09-25,1194,64,26,27,3
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-10-02,1173,78,25,24,0
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-10-09,1213,87,29,29,3
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-10-16,1215,81,26,18,1
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-10-23,1173,62,22,38,0
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-10-30,1155,72,28,21,0
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-11-06,1123,79,22,32,4
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-11-13,1163,82,30,27,0
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-11-20,1185,62,30,23,2
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-11-27,1213,78,27,37,1
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-12-04,1241,81,30,29,1
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-12-11,1170,76,29,23,6
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-12-18,1171,71,29,19,2
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2006-12-25,1204,64,23,29,0
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2007-01-01,1191,72,18,28,3
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2007-01-08,1200,106,27,19,1
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2007-01-15,1202,102,20,25,4
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2007-01-22,1231,80,26,32,4
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2007-01-29,1140,77,28,32,3
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2007-02-05,1183,88,16,29,2
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2007-02-12,1177,95,50,28,2
"M 5.0 - 3 km WSW of Conchagua, El Salvador",2006-09-04,3,"Tegucigalpa, Honduras",2007-02-19,1189,80,33,26,3
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-07-22,1013,150,53,49,7
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-07-29,1002,160,65,59,8
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-08-05,1008,182,63,61,3
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-08-12,1009,142,52,57,13
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-08-19,1041,167,51,59,13
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-08-26,1007,165,47,56,4
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-09-02,980,148,54,59,7
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-09-09,980,190,51,47,11
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-09-16,1021,174,65,44,2
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-09-23,993,157,54,57,3
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-09-30,1063,139,55,49,6
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-10-07,998,145,68,59,3
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-10-14,991,145,55,74,4
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-10-21,1012,140,39,56,3
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-10-28,965,140,49,46,5
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-11-04,975,135,56,52,4
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-11-11,957,136,40,42,2
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-11-18,996,102,63,55,4
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-11-25,996,118,46,49,4
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-12-02,1034,142,48,60,6
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-12-09,1009,123,39,57,6
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-12-16,1025,152,60,63,4
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-12-23,1029,132,36,46,3
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2011-12-30,1034,152,51,46,7
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-01-06,966,132,29,49,3
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-01-13,980,100,34,36,4
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-01-20,943,100,50,30,2
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-01-27,1034,102,48,45,1
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-02-03,1020,114,52,47,0
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-02-10,980,111,42,37,3
"M 5.1 - 4 km E of Anse-à-Veau, Haiti",2012-01-06,2.8,"Port-au-Prince, Haiti",2012-02-17,996,113,34,41,4
